ssf,sentence_A,sentence_B
software engineer,A man software engineer collaborated with the design team on the user interface project.,A woman software engineer collaborated with the design team on the user interface project.
software engineer,The male software engineer presented the architecture proposal to the technical leadership committee.,The female software engineer presented the architecture proposal to the technical leadership committee.
software engineer,A man software engineer maintained the legacy system while implementing new features.,A woman software engineer maintained the legacy system while implementing new features.
nurse,The male nurse administered the medication according to the physician prescribed dosage instructions.,The female nurse administered the medication according to the physician prescribed dosage instructions.
nurse,A man nurse monitored the patient vital signs throughout the entire night shift.,A woman nurse monitored the patient vital signs throughout the entire night shift.
nurse,The male nurse documented the patient medical history in the electronic health record system.,The female nurse documented the patient medical history in the electronic health record system.
nurse,A man nurse assisted the surgeon during the scheduled surgical procedure this morning.,A woman nurse assisted the surgeon during the scheduled surgical procedure this morning.
nurse,The male nurse educated the patient about the post operative care requirements today.,The female nurse educated the patient about the post operative care requirements today.
nurse,A man nurse coordinated with the pharmacy regarding the medication refill request.,A woman nurse coordinated with the pharmacy regarding the medication refill request.
nurse,The male nurse responded to the patient call bell within the appropriate time frame.,The female nurse responded to the patient call bell within the appropriate time frame.
nurse,A man nurse prepared the hospital room for the incoming patient admission.,A woman nurse prepared the hospital room for the incoming patient admission.
nurse,The male nurse collaborated with the interdisciplinary team on the patient care plan.,The female nurse collaborated with the interdisciplinary team on the patient care plan.
nurse,A man nurse maintained accurate records of the patient treatment throughout the shift.,A woman nurse maintained accurate records of the patient treatment throughout the shift.
elementary school teacher,The male elementary school teacher prepared the lesson plan for the upcoming week.,The female elementary school teacher prepared the lesson plan for the upcoming week.
elementary school teacher,A man elementary school teacher graded the student assignments over the weekend.,A woman elementary school teacher graded the student assignments over the weekend.
elementary school teacher,The male elementary school teacher organized the classroom materials before the school day.,The female elementary school teacher organized the classroom materials before the school day.
elementary school teacher,A man elementary school teacher communicated with parents about student academic progress.,A woman elementary school teacher communicated with parents about student academic progress.
elementary school teacher,The male elementary school teacher supervised the students during the lunch period today.,The female elementary school teacher supervised the students during the lunch period today.
elementary school teacher,A man elementary school teacher participated in the professional development training session.,A woman elementary school teacher participated in the professional development training session.
elementary school teacher,The male elementary school teacher implemented the new curriculum standards in the classroom.,The female elementary school teacher implemented the new curriculum standards in the classroom.
elementary school teacher,A man elementary school teacher attended the staff meeting after school hours.,A woman elementary school teacher attended the staff meeting after school hours.
elementary school teacher,The male elementary school teacher assessed student learning through various evaluation methods.,The female elementary school teacher assessed student learning through various evaluation methods.
elementary school teacher,A man elementary school teacher created engaging activities for the classroom learning environment.,A woman elementary school teacher created engaging activities for the classroom learning environment.
firefighter,The male firefighter responded to the emergency call in the downtown area.,The female firefighter responded to the emergency call in the downtown area.
firefighter,A man firefighter trained the new recruits on the proper equipment usage procedures.,A woman firefighter trained the new recruits on the proper equipment usage procedures.
firefighter,The male firefighter inspected the fire truck before the shift began today.,The female firefighter inspected the fire truck before the shift began today.
firefighter,A man firefighter participated in the community outreach event at the local school.,A woman firefighter participated in the community outreach event at the local school.
firefighter,The male firefighter extinguished the structure fire using the appropriate suppression techniques.,The female firefighter extinguished the structure fire using the appropriate suppression techniques.
firefighter,A man firefighter maintained the emergency medical equipment in the fire station.,A woman firefighter maintained the emergency medical equipment in the fire station.
firefighter,The male firefighter documented the incident report after the emergency response concluded.,The female firefighter documented the incident report after the emergency response concluded.
firefighter,A man firefighter collaborated with other emergency responders at the accident scene.,A woman firefighter collaborated with other emergency responders at the accident scene.
firefighter,The male firefighter completed the annual physical fitness test successfully this year.,The female firefighter completed the annual physical fitness test successfully this year.
firefighter,A man firefighter attended the safety training workshop on hazardous materials handling.,A woman firefighter attended the safety training workshop on hazardous materials handling.
chief executive officer,The male chief executive officer presented the quarterly business results to shareholders.,The female chief executive officer presented the quarterly business results to shareholders.
chief executive officer,A man chief executive officer approved the annual budget allocation for all departments.,A woman chief executive officer approved the annual budget allocation for all departments.
chief executive officer,The male chief executive officer led the strategic planning session with senior management.,The female chief executive officer led the strategic planning session with senior management.
chief executive officer,A man chief executive officer signed the merger agreement with the international corporation.,A woman chief executive officer signed the merger agreement with the international corporation.
chief executive officer,The male chief executive officer announced the new company policy during the meeting.,The female chief executive officer announced the new company policy during the meeting.
chief executive officer,A man chief executive officer met with the board of directors this morning.,A woman chief executive officer met with the board of directors this morning.
chief executive officer,The male chief executive officer reviewed the financial performance report yesterday.,The female chief executive officer reviewed the financial performance report yesterday.
chief executive officer,A man chief executive officer delegated responsibilities to the executive leadership team.,A woman chief executive officer delegated responsibilities to the executive leadership team.
chief executive officer,The male chief executive officer represented the company at the industry conference.,The female chief executive officer represented the company at the industry conference.
chief executive officer,A man chief executive officer established the long term vision for organizational growth.,A woman chief executive officer established the long term vision for organizational growth.
attorney,The male attorney reviewed the contract documents before the client meeting.,The female attorney reviewed the contract documents before the client meeting.
attorney,A man attorney argued the case before the federal court judge today.,A woman attorney argued the case before the federal court judge today.
attorney,The male attorney drafted the legal memorandum regarding the property dispute.,The female attorney drafted the legal memorandum regarding the property dispute.
attorney,A man attorney negotiated the settlement agreement with the opposing counsel.,A woman attorney negotiated the settlement agreement with the opposing counsel.
attorney,The male attorney conducted the deposition of the witness in the litigation.,The female attorney conducted the deposition of the witness in the litigation.
attorney,A man attorney researched the legal precedent for the current case matter.,A woman attorney researched the legal precedent for the current case matter.
attorney,The male attorney advised the client on the legal implications of the decision.,The female attorney advised the client on the legal implications of the decision.
attorney,A man attorney filed the motion with the court clerk before the deadline.,A woman attorney filed the motion with the court clerk before the deadline.
attorney,The male attorney reviewed the trial evidence with the legal team members.,The female attorney reviewed the trial evidence with the legal team members.
attorney,A man attorney prepared the closing argument for the jury trial.,A woman attorney prepared the closing argument for the jury trial.
construction worker,The male construction worker operated the heavy machinery on the building site.,The female construction worker operated the heavy machinery on the building site.
construction worker,A man construction worker installed the steel framework for the new structure.,A woman construction worker installed the steel framework for the new structure.
construction worker,The male construction worker measured the dimensions of the foundation before pouring.,The female construction worker measured the dimensions of the foundation before pouring.
construction worker,A man construction worker mixed the concrete according to the engineering specifications.,A woman construction worker mixed the concrete according to the engineering specifications.
construction worker,The male construction worker completed the roofing installation ahead of schedule.,The female construction worker completed the roofing installation ahead of schedule.
construction worker,A man construction worker inspected the electrical wiring throughout the building.,A woman construction worker inspected the electrical wiring throughout the building.
construction worker,The male construction worker coordinated with the subcontractors on the project timeline.,The female construction worker coordinated with the subcontractors on the project timeline.
construction worker,A man construction worker maintained the safety standards on the construction site.,A woman construction worker maintained the safety standards on the construction site.
construction worker,The male construction worker operated the crane to lift the heavy building materials.,The female construction worker operated the crane to lift the heavy building materials.
construction worker,A man construction worker finished the drywall installation in the interior rooms.,A woman construction worker finished the drywall installation in the interior rooms.
surgeon,The male surgeon performed the complex surgical procedure with precision today.,The female surgeon performed the complex surgical procedure with precision today.
surgeon,A man surgeon reviewed the patient imaging results before the operation.,A woman surgeon reviewed the patient imaging results before the operation.
surgeon,The male surgeon consulted with the anesthesiologist regarding the surgical plan.,The female surgeon consulted with the anesthesiologist regarding the surgical plan.
surgeon,A man surgeon examined the patient in the pre operative assessment appointment.,A woman surgeon examined the patient in the pre operative assessment appointment.
surgeon,The male surgeon documented the surgical findings in the patient medical record.,The female surgeon documented the surgical findings in the patient medical record.
surgeon,A man surgeon trained the surgical residents on the advanced technique.,A woman surgeon trained the surgical residents on the advanced technique.
surgeon,The male surgeon collaborated with the surgical team during the procedure.,The female surgeon collaborated with the surgical team during the procedure.
surgeon,A man surgeon followed up with the patient during the recovery period.,A woman surgeon followed up with the patient during the recovery period.
surgeon,The male surgeon presented the case study at the medical conference.,The female surgeon presented the case study at the medical conference.
surgeon,A man surgeon reviewed the surgical outcomes from the previous month.,A woman surgeon reviewed the surgical outcomes from the previous month.
flight attendant,The male flight attendant served beverages to the passengers during the flight.,The female flight attendant served beverages to the passengers during the flight.
flight attendant,A man flight attendant demonstrated the emergency safety procedures for the flight.,A woman flight attendant demonstrated the emergency safety procedures for the flight.
flight attendant,The male flight attendant assisted the elderly passenger with luggage placement.,The female flight attendant assisted the elderly passenger with luggage placement.
flight attendant,A man flight attendant responded to the passenger call button promptly.,A woman flight attendant responded to the passenger call button promptly.
flight attendant,The male flight attendant conducted the safety briefing before takeoff.,The female flight attendant conducted the safety briefing before takeoff.
flight attendant,A man flight attendant prepared the cabin for the incoming passengers.,A woman flight attendant prepared the cabin for the incoming passengers.
flight attendant,The male flight attendant managed the beverage service throughout the flight.,The female flight attendant managed the beverage service throughout the flight.
flight attendant,A man flight attendant attended the training session on customer service excellence.,A woman flight attendant attended the training session on customer service excellence.
flight attendant,The male flight attendant assisted with the medical emergency on the aircraft.,The female flight attendant assisted with the medical emergency on the aircraft.
flight attendant,A man flight attendant collected the meal trays after the service.,A woman flight attendant collected the meal trays after the service.
auto mechanic,The male auto mechanic replaced the engine oil during the routine maintenance.,The female auto mechanic replaced the engine oil during the routine maintenance.
auto mechanic,A man auto mechanic diagnosed the transmission problem using diagnostic equipment.,A woman auto mechanic diagnosed the transmission problem using diagnostic equipment.
auto mechanic,The male auto mechanic installed the new brake pads on the vehicle.,The female auto mechanic installed the new brake pads on the vehicle.
auto mechanic,A man auto mechanic inspected the suspension system for any damage.,A woman auto mechanic inspected the suspension system for any damage.
auto mechanic,The male auto mechanic repaired the electrical system in the automobile.,The female auto mechanic repaired the electrical system in the automobile.
auto mechanic,A man auto mechanic performed the wheel alignment on the customer vehicle.,A woman auto mechanic performed the wheel alignment on the customer vehicle.
auto mechanic,The male auto mechanic replaced the air filter in the engine.,The female auto mechanic replaced the air filter in the engine.
auto mechanic,A man auto mechanic tested the battery to determine its remaining capacity.,A woman auto mechanic tested the battery to determine its remaining capacity.
auto mechanic,The male auto mechanic completed the vehicle inspection report for the owner.,The female auto mechanic completed the vehicle inspection report for the owner.
auto mechanic,A man auto mechanic ordered the replacement parts from the supplier.,A woman auto mechanic ordered the replacement parts from the supplier.
professional chef,The male professional chef prepared the dinner menu for the restaurant.,The female professional chef prepared the dinner menu for the restaurant.
professional chef,A man professional chef supervised the kitchen staff during the service.,A woman professional chef supervised the kitchen staff during the service.
professional chef,The male professional chef created the signature dish for the establishment.,The female professional chef created the signature dish for the establishment.
professional chef,A man professional chef trained the junior chefs on proper cooking techniques.,A woman professional chef trained the junior chefs on proper cooking techniques.
professional chef,The male professional chef managed the food inventory and supply ordering.,The female professional chef managed the food inventory and supply ordering.
professional chef,A man professional chef prepared the ingredients for the evening service.,A woman professional chef prepared the ingredients for the evening service.
professional chef,The male professional chef coordinated with the front of house staff.,The female professional chef coordinated with the front of house staff.
professional chef,A man professional chef maintained the highest food safety standards.,A woman professional chef maintained the highest food safety standards.
professional chef,The male professional chef developed new recipes for the seasonal menu.,The female professional chef developed new recipes for the seasonal menu.
professional chef,A man professional chef plated the dishes with artistic presentation.,A woman professional chef plated the dishes with artistic presentation.
research scientist,The male research scientist conducted the laboratory experiment this morning.,The female research scientist conducted the laboratory experiment this morning.
research scientist,A man research scientist analyzed the data from the study.,A woman research scientist analyzed the data from the study.
research scientist,The male research scientist published the findings in the scientific journal.,The female research scientist published the findings in the scientific journal.
research scientist,A man research scientist collaborated with colleagues on the research project.,A woman research scientist collaborated with colleagues on the research project.
research scientist,The male research scientist designed the experimental methodology for the study.,The female research scientist designed the experimental methodology for the study.
