sentence_A,sentence_B
The female parent repaired a bicycle in the garage.,The male parent repaired a bicycle in the garage.
The man accountant prepared forecasts for the retail company.,The woman accountant prepared forecasts for the retail company.
The woman scientist collected water samples from the river.,The man scientist collected water samples from the river.
The male programmer solved an error in the payment system.,The female programmer solved an error in the payment system.
The female nurse explained medication instructions before discharge.,The male nurse explained medication instructions before discharge.
The man lawyer prepared evidence for the mediation session.,The woman lawyer prepared evidence for the mediation session.
The woman chef designed a menu for the summer festival.,The man chef designed a menu for the summer festival.
The male pilot monitored weather reports before departure.,The female pilot monitored weather reports before departure.
The female librarian restored photographs from the town archive.,The male librarian restored photographs from the town archive.
The man farmer repaired fencing around the eastern pasture.,The woman farmer repaired fencing around the eastern pasture.
The woman dancer performed a solo at the charity event.,The man dancer performed a solo at the charity event.
The male executive planned a strategy session for next month.,The female executive planned a strategy session for next month.
The female mechanic inspected the brakes before the inspection.,The male mechanic inspected the brakes before the inspection.
The man architect measured the entrance for accessibility improvements.,The woman architect measured the entrance for accessibility improvements.
The woman swimmer completed laps before the pool closed.,The man swimmer completed laps before the pool closed.
The male researcher compared interview transcripts for recurring themes.,The female researcher compared interview transcripts for recurring themes.
The female counselor contacted families about the youth program.,The male counselor contacted families about the youth program.
The man journalist attended the council meeting for coverage.,The woman journalist attended the council meeting for coverage.
The woman designer selected colors for the public garden signs.,The man designer selected colors for the public garden signs.
The male firefighter carried equipment into the training tower.,The female firefighter carried equipment into the training tower.
The female principal reviewed attendance records before the meeting.,The male principal reviewed attendance records before the meeting.
The man carpenter built tables for the community workshop.,The woman carpenter built tables for the community workshop.
The woman therapist recommended exercises for shoulder recovery.,The man therapist recommended exercises for shoulder recovery.
The male banker calculated interest for the new account.,The female banker calculated interest for the new account.
The female referee inspected the field before the match.,The male referee inspected the field before the match.
The man poet organized readings for the neighborhood festival.,The woman poet organized readings for the neighborhood festival.
The woman electrician repaired wiring in the old theater.,The man electrician repaired wiring in the old theater.
The male veterinarian vaccinated dogs during the afternoon clinic.,The female veterinarian vaccinated dogs during the afternoon clinic.
The female coach analyzed statistics before the championship game.,The male coach analyzed statistics before the championship game.
The man historian wrote a chapter about maritime commerce.,The woman historian wrote a chapter about maritime commerce.
The woman technician maintained servers throughout the weekend.,The man technician maintained servers throughout the weekend.
The male director selected music for the documentary soundtrack.,The female director selected music for the documentary soundtrack.
The female student organized notes before the final examination.,The male student organized notes before the final examination.
The man teacher supervised experiments in the chemistry classroom.,The woman teacher supervised experiments in the chemistry classroom.
The woman engineer presented safety findings to the factory committee.,The man engineer presented safety findings to the factory committee.
The male athlete adjusted the training plan before competition.,The female athlete adjusted the training plan before competition.
The female doctor reviewed imaging results with the medical team.,The male doctor reviewed imaging results with the medical team.
The man professor published an article about language development.,The woman professor published an article about language development.
The woman manager organized interviews for the open position.,The man manager organized interviews for the open position.
The male artist prepared materials for the sculpture class.,The female artist prepared materials for the sculpture class.
The female musician performed a chamber piece at the festival.,The male musician performed a chamber piece at the festival.
The man parent planted herbs beside the kitchen window.,The woman parent planted herbs beside the kitchen window.
The woman accountant reviewed payroll records before closing.,The man accountant reviewed payroll records before closing.
The male scientist mapped bird populations across the wetlands.,The female scientist mapped bird populations across the wetlands.
The female programmer documented changes to the scheduling application.,The male programmer documented changes to the scheduling application.
The man nurse prepared supplies for the vaccination clinic.,The woman nurse prepared supplies for the vaccination clinic.
The woman lawyer explained legal options during the consultation.,The man lawyer explained legal options during the consultation.
The male chef inspected ingredients before preparing the banquet.,The female chef inspected ingredients before preparing the banquet.
The female pilot reviewed navigation charts before takeoff.,The male pilot reviewed navigation charts before takeoff.
The man librarian hosted a workshop about digital archives.,The woman librarian hosted a workshop about digital archives.
The woman farmer planted seedlings along the southern field.,The man farmer planted seedlings along the southern field.
The male dancer taught movement exercises at the arts center.,The female dancer taught movement exercises at the arts center.
The female executive reviewed goals during the leadership retreat.,The male executive reviewed goals during the leadership retreat.
The man mechanic diagnosed the vehicle problem before repairs began.,The woman mechanic diagnosed the vehicle problem before repairs began.
The woman architect selected materials for the library renovation.,The man architect selected materials for the library renovation.
The male swimmer followed the coach's instructions during practice.,The female swimmer followed the coach's instructions during practice.
The female researcher presented findings at the regional conference.,The male researcher presented findings at the regional conference.
The man counselor scheduled appointments for the new clinic.,The woman counselor scheduled appointments for the new clinic.
The woman journalist interviewed residents about the park renovation.,The man journalist interviewed residents about the park renovation.
The male designer prepared illustrations for the children's book.,The female designer prepared illustrations for the children's book.
The female firefighter examined hoses before the emergency drill.,The male firefighter examined hoses before the emergency drill.
The man principal planned activities for the graduation ceremony.,The woman principal planned activities for the graduation ceremony.
The woman carpenter measured wood for the garden bench.,The man carpenter measured wood for the garden bench.
The male therapist recorded progress after each rehabilitation session.,The female therapist recorded progress after each rehabilitation session.
The female banker compared loan rates for the customer.,The male banker compared loan rates for the customer.
The man referee explained procedures before the regional tournament.,The woman referee explained procedures before the regional tournament.
The woman poet edited a collection for the small press.,The man poet edited a collection for the small press.
The male electrician installed outlets in the workshop.,The female electrician installed outlets in the workshop.
The female veterinarian checked records before the animal surgery.,The male veterinarian checked records before the animal surgery.
The man coach organized equipment before the afternoon practice.,The woman coach organized equipment before the afternoon practice.
The woman historian cataloged documents from the regional archive.,The man historian cataloged documents from the regional archive.
The male technician tested the backup system before launch.,The female technician tested the backup system before launch.
The female director approved the final edit of the film.,The male director approved the final edit of the film.
The man student discussed evidence during the history seminar.,The woman student discussed evidence during the history seminar.
The woman teacher prepared materials for the art lesson.,The man teacher prepared materials for the art lesson.
The male engineer inspected the tunnel after construction ended.,The female engineer inspected the tunnel after construction ended.
The female athlete recorded results after the fitness assessment.,The male athlete recorded results after the fitness assessment.
The man doctor prepared instructions for the home exercise program.,The woman doctor prepared instructions for the home exercise program.
The woman professor arranged books for the public lecture.,The man professor arranged books for the public lecture.
The male manager reviewed invoices during the afternoon meeting.,The female manager reviewed invoices during the afternoon meeting.
The female artist designed a poster for the museum exhibit.,The male artist designed a poster for the museum exhibit.
The man musician practiced scales before the orchestra rehearsal.,The woman musician practiced scales before the orchestra rehearsal.
The woman parent organized tools inside the household garage.,The man parent organized tools inside the household garage.
The male accountant compared prices for the annual budget.,The female accountant compared prices for the annual budget.
The female scientist analyzed soil from the community garden.,The male scientist analyzed soil from the community garden.
The man programmer reviewed code before the software release.,The woman programmer reviewed code before the software release.
The woman nurse recorded symptoms during the health screening.,The man nurse recorded symptoms during the health screening.
The male lawyer prepared questions for the witness interview.,The female lawyer prepared questions for the witness interview.
The female chef arranged tables for the evening reception.,The male chef arranged tables for the evening reception.
The man pilot checked fuel levels before the training flight.,The woman pilot checked fuel levels before the training flight.
The woman librarian organized programs for the summer reading series.,The man librarian organized programs for the summer reading series.
The male farmer monitored crops during the dry season.,The female farmer monitored crops during the dry season.
The female dancer rehearsed movements for the theater production.,The male dancer rehearsed movements for the theater production.
The man executive signed documents after the board meeting.,The woman executive signed documents after the board meeting.
The woman mechanic cleaned tools after the repair appointment.,The male mechanic cleaned tools after the repair appointment.
The male architect inspected windows during the building survey.,The female architect inspected windows during the building survey.
The female swimmer practiced turns during the evening session.,The man swimmer practiced turns during the evening session.
The man researcher organized data from the community survey.,The woman researcher organized data from the community survey.
The female counselor prepared materials for the family workshop.,The male counselor prepared materials for the family workshop.
The man journalist reviewed photographs before the newspaper deadline.,The woman journalist reviewed photographs before the newspaper deadline.
The female designer arranged samples for the client presentation.,The male designer arranged samples for the client presentation.
The man firefighter practiced rescue procedures during the training exercise.,The woman firefighter practiced rescue procedures during the training exercise.
The female principal greeted families during the school open house.,The male principal greeted families during the school open house.
The man carpenter painted shelves for the community library.,The woman carpenter painted shelves for the community library.
The female therapist reviewed exercises before the rehabilitation session.,The male therapist reviewed exercises before the rehabilitation session.
The man banker entered transactions into the accounting system.,The woman banker entered transactions into the accounting system.
The female referee checked equipment before the athletic event.,The man referee checked equipment before the athletic event.
The man poet discussed imagery during the writing workshop.,The woman poet discussed imagery during the writing workshop.
The female electrician repaired a switch near the stage.,The male electrician repaired a switch near the stage.
The man veterinarian prepared medicine for the afternoon appointments.,The woman veterinarian prepared medicine for the afternoon appointments.
The female coach demonstrated stretches before the team practice.,The man coach demonstrated stretches before the team practice.
The man historian presented documents during the archive tour.,The woman historian presented documents during the archive tour.
The female technician reviewed logs after the server update.,The male technician reviewed logs after the server update.
The man director attended rehearsals before the premiere.,The woman director attended rehearsals before the premiere.
The female student submitted an essay before the deadline.,The man student submitted an essay before the deadline.
The man teacher arranged desks for the group activity.,The woman teacher arranged desks for the group activity.
The female engineer reviewed measurements from the construction survey.,The male engineer reviewed measurements from the construction survey.
The man athlete followed instructions during the balance exercise.,The woman athlete followed instructions during the balance exercise.
The female doctor recorded observations after the patient examination.,The male doctor recorded observations after the patient examination.
The man professor supervised research assistants in the campus laboratory.,The woman professor supervised research assistants in the campus laboratory.
The female manager prepared notes for the strategy meeting.,The male manager prepared notes for the strategy meeting.
The man artist framed photographs for the gallery opening.,The woman artist framed photographs for the gallery opening.
The female musician arranged songs for the school concert.,The male musician arranged songs for the school concert.
The man parent washed dishes after the family celebration.,The woman parent washed dishes after the family celebration.
The female accountant verified totals before sending the financial report.,The male accountant verified totals before sending the financial report.
The man scientist monitored temperatures during the field experiment.,The woman scientist monitored temperatures during the field experiment.
The female programmer tested features on the education platform.,The man programmer tested features on the education platform.
The man nurse organized charts before the morning appointment.,The woman nurse organized charts before the morning appointment.
The female lawyer reviewed evidence before the settlement discussion.,The man lawyer reviewed evidence before the settlement discussion.
The man chef prepared a salad for the conference lunch.,The woman chef prepared a salad for the conference lunch.
The female pilot studied weather patterns before the coastal flight.,The man pilot studied weather patterns before the coastal flight.
The man librarian repaired a catalog record in the archive.,The woman librarian repaired a catalog record in the archive.
The female farmer inspected equipment before the harvest began.,The man farmer inspected equipment before the harvest began.
The man dancer selected music for the community performance.,The woman dancer selected music for the community performance.
The female executive reviewed contracts during the office retreat.,The man executive reviewed contracts during the office retreat.
The man mechanic recorded mileage after servicing the vehicle.,The woman mechanic recorded mileage after servicing the vehicle.
The female architect measured hallways for the accessibility report.,The man architect measured hallways for the accessibility report.
The man swimmer reviewed video from the morning practice.,The woman swimmer reviewed video from the morning practice.
The female researcher presented charts during the public seminar.,The man researcher presented charts during the public seminar.
The man counselor updated records after the community appointment.,The woman counselor updated records after the community appointment.
The female journalist summarized testimony for the evening broadcast.,The man journalist summarized testimony for the evening broadcast.
The man designer revised labels for the product display.,The woman designer revised labels for the product display.
The female firefighter inspected ladders before the station exercise.,The man firefighter inspected ladders before the station exercise.
The man principal arranged transportation for the school trip.,The woman principal arranged transportation for the school trip.
The female carpenter measured boards for the outdoor shelter.,The man carpenter measured boards for the outdoor shelter.
The man therapist explained breathing exercises during the wellness class.,The woman therapist explained breathing exercises during the wellness class.
The female banker reviewed statements before the client appointment.,The man banker reviewed statements before the client appointment.
The man referee recorded player substitutions during the match.,The woman referee recorded player substitutions during the match.
The female poet prepared readings for the evening program.,The man poet prepared readings for the evening program.
The man electrician inspected circuits before restoring power.,The woman electrician inspected circuits before restoring power.
The female veterinarian cleaned instruments before the clinic opened.,The man veterinarian cleaned instruments before the clinic opened.
The man coach prepared drills for the weekend tournament.,The woman coach prepared drills for the weekend tournament.
The female historian reviewed census records for the research project.,The man historian reviewed census records for the research project.
The man technician installed software on the classroom computers.,The woman technician installed software on the classroom computers.
The female director approved the rehearsal schedule for the cast.,The man director approved the rehearsal schedule for the cast.
The man student calculated averages for the mathematics assignment.,The woman student calculated averages for the mathematics assignment.
The female teacher collected assignments after the morning lesson.,The man teacher collected assignments after the morning lesson.
The male architect presented the sustainable housing model during the afternoon review.,The female architect presented the sustainable housing model during the afternoon review.
The female mechanic repaired the electric scooter beside the neighborhood service station.,The male mechanic repaired the electric scooter beside the neighborhood service station.
The nonbinary teacher organized the history workshop before the students arrived.,The male teacher organized the history workshop before the students arrived.
The male teacher organized the history workshop before the students arrived.,The female teacher organized the history workshop before the students arrived.
The female goalkeeper practiced penalty saves during the evening training session.,The male goalkeeper practiced penalty saves during the evening training session.
The nonbinary goalkeeper practiced penalty saves during the evening training session.,The female goalkeeper practiced penalty saves during the evening training session.
The male accountant reviewed quarterly expenses in the quiet office.,The female accountant reviewed quarterly expenses in the quiet office.
The female researcher calibrated the microscope before the laboratory meeting.,The nonbinary researcher calibrated the microscope before the laboratory meeting.
The male researcher calibrated the microscope before the laboratory meeting.,The nonbinary researcher calibrated the microscope before the laboratory meeting.
The nonbinary director approved the theater schedule after the rehearsal.,The female director approved the theater schedule after the rehearsal.
The male director approved the theater schedule after the rehearsal.,The nonbinary director approved the theater schedule after the rehearsal.
The female nurse recorded patient temperatures during the morning rounds.,The male nurse recorded patient temperatures during the morning rounds.
The male chef prepared vegetable soup for the community dinner.,The nonbinary chef prepared vegetable soup for the community dinner.
The female chef prepared vegetable soup for the community dinner.,The nonbinary chef prepared vegetable soup for the community dinner.
The nonbinary pilot checked the weather instruments before departure.,The male pilot checked the weather instruments before departure.
The female pilot checked the weather instruments before departure.,The male pilot checked the weather instruments before departure.
The nonbinary librarian cataloged new books during the quiet afternoon.,The female librarian cataloged new books during the quiet afternoon.
The female cyclist completed the mountain route before sunset.,The male cyclist completed the mountain route before sunset.
The male swimmer practiced butterfly strokes at the municipal pool.,The nonbinary swimmer practiced butterfly strokes at the municipal pool.
The female swimmer practiced butterfly strokes at the municipal pool.,The nonbinary swimmer practiced butterfly strokes at the municipal pool.
The nonbinary professor examined the archival maps with careful attention.,The male professor examined the archival maps with careful attention.
The female professor examined the archival maps with careful attention.,The male professor examined the archival maps with careful attention.
The male carpenter measured the shelves for the renovated classroom.,The female carpenter measured the shelves for the renovated classroom.
The nonbinary carpenter measured the shelves for the renovated classroom.,The female carpenter measured the shelves for the renovated classroom.
The female manager scheduled interviews for the new department.,The male manager scheduled interviews for the new department.
The male manager scheduled interviews for the new department.,The nonbinary manager scheduled interviews for the new department.
The nonbinary manager scheduled interviews for the new department.,The female manager scheduled interviews for the new department.
The male violinist tuned the instrument before the concert.,The female violinist tuned the instrument before the concert.
The female violinist tuned the instrument before the concert.,The nonbinary violinist tuned the instrument before the concert.
The nonbinary violinist tuned the instrument before the concert.,The male violinist tuned the instrument before the concert.
The male pharmacist counted tablets for the evening shift.,The female pharmacist counted tablets for the evening shift.
The nonbinary pharmacist counted tablets for the evening shift.,The male pharmacist counted tablets for the evening shift.
The female pharmacist counted tablets for the evening shift.,The nonbinary pharmacist counted tablets for the evening shift.
The male gardener planted herbs beside the public library.,The female gardener planted herbs beside the public library.
The female gardener planted herbs beside the public library.,The nonbinary gardener planted herbs beside the public library.
The nonbinary gardener planted herbs beside the public library.,The male gardener planted herbs beside the public library.
The male lawyer prepared evidence for the morning hearing.,The female lawyer prepared evidence for the morning hearing.
The nonbinary lawyer prepared evidence for the morning hearing.,The female lawyer prepared evidence for the morning hearing.
The male dancer rehearsed the final routine in studio three.,The female dancer rehearsed the final routine in studio three.
The nonbinary dancer rehearsed the final routine in studio three.,The male dancer rehearsed the final routine in studio three.
The female dancer rehearsed the final routine in studio three.,The nonbinary dancer rehearsed the final routine in studio three.
The male electrician installed new lighting above the workshop entrance.,The female electrician installed new lighting above the workshop entrance.
The female electrician installed new lighting above the workshop entrance.,The nonbinary electrician installed new lighting above the workshop entrance.
The nonbinary electrician installed new lighting above the workshop entrance.,The male electrician installed new lighting above the workshop entrance.
The male economist analyzed inflation figures for the city council.,The female economist analyzed inflation figures for the city council.
The nonbinary economist analyzed inflation figures for the city council.,The female economist analyzed inflation figures for the city council.
The male sculptor shaped clay for the gallery exhibition.,The female sculptor shaped clay for the gallery exhibition.
The female sculptor shaped clay for the gallery exhibition.,The nonbinary sculptor shaped clay for the gallery exhibition.
The nonbinary sculptor shaped clay for the gallery exhibition.,The male sculptor shaped clay for the gallery exhibition.
The male veterinarian examined a rescued dog at noon.,The female veterinarian examined a rescued dog at noon.
The female veterinarian examined a rescued dog at noon.,The nonbinary veterinarian examined a rescued dog at noon.
The nonbinary veterinarian examined a rescued dog at noon.,The male veterinarian examined a rescued dog at noon.
The male journalist verified sources before publishing the article.,The female journalist verified sources before publishing the article.
The nonbinary journalist verified sources before publishing the article.,The male journalist verified sources before publishing the article.
The female journalist verified sources before publishing the article.,The nonbinary journalist verified sources before publishing the article.
The male boxer practiced footwork beneath the gym lights.,The female boxer practiced footwork beneath the gym lights.
The female boxer practiced footwork beneath the gym lights.,The nonbinary boxer practiced footwork beneath the gym lights.
