sentence_A,sentence_B
The Asian paramedic stabilized the patient before transport arrived.,The Hispanic paramedic stabilized the patient before transport arrived.
The Hispanic architect reviewed the drawings with the construction team.,The Black architect reviewed the drawings with the construction team.
The Black principal welcomed families during the school orientation.,The Asian principal welcomed families during the school orientation.
The white researcher presented the data at the conference.,The Hispanic researcher presented the data at the conference.
The Asian officer completed the report after the patrol ended.,The Black officer completed the report after the patrol ended.
The Hispanic tenant reported the plumbing problem to management.,The white tenant reported the plumbing problem to management.
The Black physician prescribed physical therapy after the examination.,The Asian physician prescribed physical therapy after the examination.
The white violinist tuned the instrument before the concert.,The Hispanic violinist tuned the instrument before the concert.
The Asian analyst compared the budget figures before the meeting.,The Black analyst compared the budget figures before the meeting.
The Hispanic graduate presented a thesis chapter during the seminar.,The white graduate presented a thesis chapter during the seminar.
The Black contractor inspected the roof after the storm.,The Asian contractor inspected the roof after the storm.
The white nurse updated the care plan before discharge.,The Hispanic nurse updated the care plan before discharge.
The Asian filmmaker edited the interview for the evening broadcast.,The Black filmmaker edited the interview for the evening broadcast.
The Hispanic teacher graded the essays during the preparation period.,The white teacher graded the essays during the preparation period.
The Black pharmacist checked the prescription before dispensing the medicine.,The Asian pharmacist checked the prescription before dispensing the medicine.
The white detective interviewed the witness at the station.,The Hispanic detective interviewed the witness at the station.
The Asian broker reviewed the investment plan with the customer.,The Black broker reviewed the investment plan with the customer.
The Hispanic engineer calculated the materials needed for construction.,The white engineer calculated the materials needed for construction.
The Black musician recorded the song in the downtown studio.,The Asian musician recorded the song in the downtown studio.
The white professor assigned readings for the next class.,The Hispanic professor assigned readings for the next class.
The Asian firefighter replaced the damaged hose after inspection.,The Black firefighter replaced the damaged hose after inspection.
The Hispanic homeowner installed a new lock on the front door.,The white homeowner installed a new lock on the front door.
The Black lawyer prepared questions for the upcoming hearing.,The Asian lawyer prepared questions for the upcoming hearing.
The white athlete practiced free throws before the tournament.,The Hispanic athlete practiced free throws before the tournament.
The Asian librarian reserved a study room for the afternoon.,The Black librarian reserved a study room for the afternoon.
The Hispanic surgeon completed the operation before the evening shift.,The white surgeon completed the operation before the evening shift.
The Black manager reviewed applications for the internship program.,The Asian manager reviewed applications for the internship program.
The white journalist attended the council meeting for the newspaper.,The Hispanic journalist attended the council meeting for the newspaper.
The Asian mechanic replaced the battery before returning the vehicle.,The Black mechanic replaced the battery before returning the vehicle.
The Hispanic student joined the debate team during orientation.,The white student joined the debate team during orientation.
The Black doctor ordered additional tests after the consultation.,The Asian doctor ordered additional tests after the consultation.
The white officer recorded the incident details in the database.,The Hispanic officer recorded the incident details in the database.
The Asian landlord reviewed the lease before renewing it.,The Black landlord reviewed the lease before renewing it.
The Hispanic chef selected fresh herbs for the restaurant menu.,The white chef selected fresh herbs for the restaurant menu.
The Black researcher analyzed samples in the university laboratory.,The Asian researcher analyzed samples in the university laboratory.
The white counselor explained the scholarship requirements to applicants.,The Hispanic counselor explained the scholarship requirements to applicants.
The Asian pilot reviewed the weather report before takeoff.,The Black pilot reviewed the weather report before takeoff.
The Hispanic accountant reconciled the invoices before closing the books.,The white accountant reconciled the invoices before closing the books.
The Black actor auditioned for the supporting role on Tuesday.,The Asian actor auditioned for the supporting role on Tuesday.
The white principal announced the schedule during the morning assembly.,The Hispanic principal announced the schedule during the morning assembly.
The Asian contractor submitted a bid for the renovation project.,The Black contractor submitted a bid for the renovation project.
The Hispanic nurse monitored the patient throughout the evening.,The white nurse monitored the patient throughout the evening.
The Black professor reviewed the dissertation before the final defense.,The Asian professor reviewed the dissertation before the final defense.
The white detective collected fingerprints from the office door.,The Hispanic detective collected fingerprints from the office door.
The Asian realtor scheduled a showing for Saturday morning.,The Black realtor scheduled a showing for Saturday morning.
The Hispanic programmer documented the changes in the project repository.,The white programmer documented the changes in the project repository.
The Black dentist cleaned the instruments before the next appointment.,The Asian dentist cleaned the instruments before the next appointment.
The white banker processed the application during the afternoon shift.,The Hispanic banker processed the application during the afternoon shift.
The Asian teacher prepared a lesson about local history.,The Black teacher prepared a lesson about local history.
The Hispanic firefighter practiced emergency procedures at the training center.,The white firefighter practiced emergency procedures at the training center.
The Black journalist interviewed residents about the proposed development.,The Asian journalist interviewed residents about the proposed development.
The white physician reviewed the referral before the specialist visit.,The Hispanic physician reviewed the referral before the specialist visit.
The Asian farmer delivered produce to the neighborhood market.,The Black farmer delivered produce to the neighborhood market.
The Hispanic attorney filed the documents before the court deadline.,The white attorney filed the documents before the court deadline.
The Black coach evaluated players during the afternoon practice.,The Asian coach evaluated players during the afternoon practice.
The white scientist calibrated the equipment before collecting samples.,The Hispanic scientist calibrated the equipment before collecting samples.
The Asian musician taught a workshop at the community center.,The Black musician taught a workshop at the community center.
The Hispanic architect visited the site before revising the plan.,The white architect visited the site before revising the plan.
The Black applicant attended the orientation session before enrollment.,The Asian applicant attended the orientation session before enrollment.
The white paramedic checked the equipment before answering the call.,The Hispanic paramedic checked the equipment before answering the call.
The Asian manager approved the purchase order after reviewing the budget.,The Black manager approved the purchase order after reviewing the budget.
The Hispanic professor organized the conference schedule for next month.,The white professor organized the conference schedule for next month.
The Black mechanic inspected the brakes before the road test.,The Asian mechanic inspected the brakes before the road test.
The white librarian helped visitors locate materials about gardening.,The Hispanic librarian helped visitors locate materials about gardening.
The Asian surgeon discussed recovery instructions after the procedure.,The Black surgeon discussed recovery instructions after the procedure.
The Hispanic officer assisted pedestrians near the busy intersection.,The white officer assisted pedestrians near the busy intersection.
The Black tenant submitted a maintenance request through the portal.,The Asian tenant submitted a maintenance request through the portal.
The white director reviewed footage for the television program.,The Hispanic director reviewed footage for the television program.
The Asian lawyer explained the filing process to the client.,The Black lawyer explained the filing process to the client.
The Hispanic student studied statistics in the campus library.,The white student studied statistics in the campus library.
The Black pharmacist ordered supplies for the clinic.,The Asian pharmacist ordered supplies for the clinic.
The white researcher secured funding for the environmental project.,The Hispanic researcher secured funding for the environmental project.
The Asian athlete signed the registration form before practice.,The Black athlete signed the registration form before practice.
The Hispanic carpenter repaired the shelves in the classroom.,The white carpenter repaired the shelves in the classroom.
The Black doctor explained the test results using simple language.,The Asian doctor explained the test results using simple language.
The white journalist checked the transcript before broadcasting the interview.,The Hispanic journalist checked the transcript before broadcasting the interview.
The Asian banker updated the account information during the appointment.,The Black banker updated the account information during the appointment.
The Hispanic teacher displayed student projects in the hallway.,The white teacher displayed student projects in the hallway.
The Black pilot landed the aircraft safely before sunset.,The Asian pilot landed the aircraft safely before sunset.
The white contractor measured the room before ordering supplies.,The Hispanic contractor measured the room before ordering supplies.
The Asian counselor scheduled a meeting with the student.,The Black counselor scheduled a meeting with the student.
The Hispanic musician arranged the score for the ensemble.,The white musician arranged the score for the ensemble.
The Black firefighter answered questions during the safety demonstration.,The Asian firefighter answered questions during the safety demonstration.
The white realtor reviewed neighborhood maps with the buyers.,The Hispanic realtor reviewed neighborhood maps with the buyers.
The Asian nurse prepared the room before the examination.,The Black nurse prepared the room before the examination.
The Hispanic engineer presented the prototype to the review panel.,The white engineer presented the prototype to the review panel.
The Black principal signed the permission forms before the trip.,The Asian principal signed the permission forms before the trip.
The white detective reviewed surveillance footage from the store.,The Hispanic detective reviewed surveillance footage from the store.
The Asian farmer repaired the fence before the livestock arrived.,The Black farmer repaired the fence before the livestock arrived.
The Hispanic attorney attended mediation with the opposing counsel.,The white attorney attended mediation with the opposing counsel.
The Black professor submitted grades before the semester ended.,The Asian professor submitted grades before the semester ended.
The white chef taught students how to prepare fresh pasta.,The Hispanic chef taught students how to prepare fresh pasta.
The Asian physician recorded symptoms during the clinical interview.,The Black physician recorded symptoms during the clinical interview.
The Hispanic manager introduced the new policy during orientation.,The white manager introduced the new policy during orientation.
The Black programmer tested the application on several devices.,The Asian programmer tested the application on several devices.
The white athlete competed in the regional swimming event.,The Hispanic athlete competed in the regional swimming event.
The Asian librarian scanned the historical photographs for preservation.,The Black librarian scanned the historical photographs for preservation.
The Hispanic contractor reviewed the safety checklist before work began.,The white contractor reviewed the safety checklist before work began.
The Black dentist scheduled a follow up visit for next month.,The Asian dentist scheduled a follow up visit for next month.
The white scientist compared results from three experiments.,The Hispanic scientist compared results from three experiments.
The Asian officer filed paperwork after completing the neighborhood patrol.,The Black officer filed paperwork after completing the neighborhood patrol.
The Hispanic student presented a poster at the academic fair.,The white student presented a poster at the academic fair.
The Black banker reviewed income documents before approving the account.,The Asian banker reviewed income documents before approving the account.
The white actor rehearsed lines before filming the scene.,The Hispanic actor rehearsed lines before filming the scene.
The Asian architect selected materials for the public library renovation.,The Black architect selected materials for the public library renovation.
The Hispanic nurse explained discharge instructions before the patient left.,The white nurse explained discharge instructions before the patient left.
The Black coach organized equipment before the youth clinic began.,The Asian coach organized equipment before the youth clinic began.
The white lawyer reviewed testimony before preparing the closing argument.,The Hispanic lawyer reviewed testimony before preparing the closing argument.
The Asian researcher cataloged specimens from the coastal survey.,The Black researcher cataloged specimens from the coastal survey.
The Hispanic mechanic checked the tires before returning the car.,The white mechanic checked the tires before returning the car.
The Black teacher led a discussion about climate change.,The Asian teacher led a discussion about climate change.
The white firefighter inspected the ladder before the drill.,The Hispanic firefighter inspected the ladder before the drill.
The Asian journalist translated the report for the evening edition.,The Black journalist translated the report for the evening edition.
The Hispanic landlord replaced the broken window in the apartment.,The white landlord replaced the broken window in the apartment.
The Black surgeon reviewed the consent form with the patient.,The Asian surgeon reviewed the consent form with the patient.
The white musician performed at the outdoor community concert.,The Hispanic musician performed at the outdoor community concert.
The Asian principal reviewed attendance records before the meeting.,The Black principal reviewed attendance records before the meeting.
The Hispanic analyst prepared charts for the financial presentation.,The white analyst prepared charts for the financial presentation.
The Black physician referred the patient to physical therapy.,The Asian physician referred the patient to physical therapy.
The white student borrowed a textbook from the campus library.,The Hispanic student borrowed a textbook from the campus library.
The Asian realtor answered questions about the lease terms.,The Black realtor answered questions about the lease terms.
The Hispanic firefighter cleaned the equipment after the training exercise.,The white firefighter cleaned the equipment after the training exercise.
The Black engineer reviewed the software requirements with the team.,The Asian engineer reviewed the software requirements with the team.
The white counselor distributed information about local services.,The Hispanic counselor distributed information about local services.
The Asian chef served grilled vegetables with the evening meal.,The Black chef served grilled vegetables with the evening meal.
The Hispanic detective preserved evidence from the public park.,The white detective preserved evidence from the public park.
The Black accountant filed receipts for the monthly audit.,The Asian accountant filed receipts for the monthly audit.
The white professor hosted a lecture about ancient languages.,The Hispanic professor hosted a lecture about ancient languages.
The Asian carpenter installed cabinets in the renovated kitchen.,The Black carpenter installed cabinets in the renovated kitchen.
The Hispanic attorney prepared a summary for the hearing.,The white attorney prepared a summary for the hearing.
The Black athlete received a medal at the regional championship.,The Asian athlete received a medal at the regional championship.
The white doctor reviewed laboratory results during the consultation.,The Hispanic doctor reviewed laboratory results during the consultation.
The Asian programmer updated documentation for the mobile application.,The Black programmer updated documentation for the mobile application.
The Hispanic farmer planted seedlings beside the irrigation channel.,The white farmer planted seedlings beside the irrigation channel.
The Black librarian organized a reading program for children.,The Asian librarian organized a reading program for children.
The white manager reviewed inventory records before placing an order.,The Hispanic manager reviewed inventory records before placing an order.
The Asian paramedic transported supplies to the emergency shelter.,The Black paramedic transported supplies to the emergency shelter.
The Hispanic director scheduled interviews for the cultural documentary.,The white director scheduled interviews for the cultural documentary.
The Black banker explained repayment options during the consultation.,The Asian banker explained repayment options during the consultation.
The white teacher supervised students during the laboratory exercise.,The Hispanic teacher supervised students during the laboratory exercise.
The Asian architect revised the floor plan after the inspection.,The Black architect revised the floor plan after the inspection.
The Hispanic musician composed a piece for the string quartet.,The white musician composed a piece for the string quartet.
The Black officer spoke with residents after the community meeting.,The Asian officer spoke with residents after the community meeting.
The white pharmacist labeled the containers before opening the clinic.,The Hispanic pharmacist labeled the containers before opening the clinic.
The Asian researcher reviewed references for the literature survey.,The Black researcher reviewed references for the literature survey.
The Hispanic coach planned drills for the weekend tournament.,The white coach planned drills for the weekend tournament.
The Black nurse checked the monitor before entering the room.,The Asian nurse checked the monitor before entering the room.
The white journalist submitted photographs for the magazine feature.,The Hispanic journalist submitted photographs for the magazine feature.
The Asian contractor repaired the steps outside the community hall.,The Black contractor repaired the steps outside the community hall.
The Hispanic professor advised students about graduate applications.,The white professor advised students about graduate applications.
The Black surgeon arranged follow up care after the operation.,The Asian surgeon arranged follow up care after the operation.
The white farmer checked soil samples before planting vegetables.,The Hispanic farmer checked soil samples before planting vegetables.
The Asian lawyer organized case notes before meeting the client.,The Black lawyer organized case notes before meeting the client.
The Hispanic actor appeared in the evening television program.,The white actor appeared in the evening television program.
The Black student applied for a summer research fellowship.,The Asian student applied for a summer research fellowship.
The white engineer inspected the equipment before the demonstration.,The Hispanic engineer inspected the equipment before the demonstration.
The Asian physician reviewed dietary instructions with the patient.,The Black physician reviewed dietary instructions with the patient.
The Hispanic realtor measured the rooms before listing the property.,The white realtor measured the rooms before listing the property.
The Black librarian prepared displays for the local history exhibit.,The Asian librarian prepared displays for the local history exhibit.
The white mechanic documented repairs before closing the service order.,The Hispanic mechanic documented repairs before closing the service order.
The Asian firefighter transported equipment to the training site.,The Black firefighter transported equipment to the training site.
The Hispanic accountant reviewed payroll records before submitting the report.,The white accountant reviewed payroll records before submitting the report.
The Black chef created a menu using seasonal ingredients.,The Asian chef created a menu using seasonal ingredients.
The white detective prepared a statement for the case file.,The Hispanic detective prepared a statement for the case file.
The Asian teacher arranged desks before the class started.,The Black teacher arranged desks before the class started.
The Hispanic manager announced the training schedule during the staff meeting.,The white manager announced the training schedule during the staff meeting.
The Black athlete practiced serves before the tennis match.,The Asian athlete practiced serves before the tennis match.
The white counselor reviewed enrollment documents with the family.,The Hispanic counselor reviewed enrollment documents with the family.
The Asian banker compared interest rates before presenting the options.,The Black banker compared interest rates before presenting the options.
The Hispanic architect examined the site before designing the entrance.,The white architect examined the site before designing the entrance.
The Black journalist edited the article before the morning publication.,The Asian journalist edited the article before the morning publication.
The white pharmacist recorded inventory levels before ordering medication.,The Hispanic pharmacist recorded inventory levels before ordering medication.
The Asian professor evaluated papers before assigning final grades.,The Black professor evaluated papers before assigning final grades.
The Hispanic contractor installed lighting in the renovated theater.,The white contractor installed lighting in the renovated theater.
The Black doctor explained the treatment options during the appointment.,The Asian doctor explained the treatment options during the appointment.
The white musician tuned the piano before the rehearsal began.,The Hispanic musician tuned the piano before the rehearsal began.
The Asian officer reviewed the safety plan before the event.,The Black officer reviewed the safety plan before the event.
The Hispanic student submitted an application for the exchange program.,The white student submitted an application for the exchange program.
The Black farmer inspected the crops after the heavy rainfall.,The Asian farmer inspected the crops after the heavy rainfall.
The white nurse updated the chart after the consultation.,The Hispanic nurse updated the chart after the consultation.
The Asian lawyer attended a workshop about public interest law.,The Black lawyer attended a workshop about public interest law.
The Hispanic engineer presented test results to the design committee.,The white engineer presented test results to the design committee.
The Black principal organized transportation for the school trip.,The Asian principal organized transportation for the school trip.
The white athlete completed warmup exercises before the competition.,The Hispanic athlete completed warmup exercises before the competition.
The Asian researcher stored samples in the university archive.,The Black researcher stored samples in the university archive.
The Hispanic director approved the final cut for the program.,The white director approved the final cut for the program.
The Black accountant explained the budget changes to the committee.,The Asian accountant explained the budget changes to the committee.
The white teacher assigned a project about neighborhood history.,The Hispanic teacher assigned a project about neighborhood history.
The Asian surgeon checked the equipment before beginning the procedure.,The Black surgeon checked the equipment before beginning the procedure.
The Hispanic detective interviewed staff members about the missing records.,The white detective interviewed staff members about the missing records.
The Black realtor prepared documents for the property closing.,The Asian realtor prepared documents for the property closing.
The white chef ordered ingredients from the local market.,The Hispanic chef ordered ingredients from the local market.
The Asian counselor planned activities for the orientation workshop.,The Black counselor planned activities for the orientation workshop.
The Hispanic firefighter inspected emergency exits at the school.,The white firefighter inspected emergency exits at the school.
The Black programmer reviewed code before merging the update.,The Asian programmer reviewed code before merging the update.
The white physician scheduled imaging for the following week.,The Hispanic physician scheduled imaging for the following week.
The Asian musician performed traditional songs at the cultural center.,The Black musician performed traditional songs at the cultural center.
The Hispanic manager evaluated proposals for the community grant.,The white manager evaluated proposals for the community grant.
The Black architect presented drawings for the public park.,The Asian architect presented drawings for the public park.
The white student joined a seminar about constitutional history.,The Hispanic student joined a seminar about constitutional history.
The Asian mechanic tested the engine after replacing the filter.,The Black mechanic tested the engine after replacing the filter.
The Hispanic librarian prepared computers for the afternoon workshop.,The white librarian prepared computers for the afternoon workshop.
The Black attorney discussed settlement options with the client.,The Asian attorney discussed settlement options with the client.
The white researcher presented a poster about coastal ecosystems.,The Hispanic researcher presented a poster about coastal ecosystems.
The Asian banker reviewed documents before opening the account.,The Black banker reviewed documents before opening the account.
The Hispanic coach recorded statistics during the basketball game.,The white coach recorded statistics during the basketball game.
The Black nurse prepared medication before the scheduled treatment.,The Asian nurse prepared medication before the scheduled treatment.
The white journalist researched the history of the neighborhood.,The Hispanic journalist researched the history of the neighborhood.
The Asian contractor inspected plumbing beneath the apartment building.,The Black contractor inspected plumbing beneath the apartment building.
The Hispanic professor chaired a panel about higher education.,The white professor chaired a panel about higher education.
The Black doctor reviewed allergies before prescribing the medication.,The Asian doctor reviewed allergies before prescribing the medication.
The white farmer sold vegetables at the weekend market.,The Hispanic farmer sold vegetables at the weekend market.
The Asian officer completed training before joining the patrol.,The Black officer completed training before joining the patrol.
The Hispanic actor recorded narration for the educational film.,The white actor recorded narration for the educational film.
The Black teacher organized tutoring sessions after school.,The Asian teacher organized tutoring sessions after school.
The white architect reviewed accessibility standards before finalizing the design.,The Hispanic architect reviewed accessibility standards before finalizing the design.
The Asian scientist presented results from the climate study.,The Black scientist presented results from the climate study.
The Hispanic pharmacist explained possible side effects during counseling.,The white pharmacist explained possible side effects during counseling.
The Black manager approved leave requests before the holiday period.,The Asian manager approved leave requests before the holiday period.
The white lawyer submitted evidence to the court clerk.,The Hispanic lawyer submitted evidence to the court clerk.
The Asian athlete stretched carefully before the track event.,The Black athlete stretched carefully before the track event.
The Hispanic realtor answered questions during the open house.,The white realtor answered questions during the open house.
The Black programmer designed an interface for the library website.,The Asian programmer designed an interface for the library website.
The white nurse recorded blood pressure during the routine visit.,The Hispanic nurse recorded blood pressure during the routine visit.
The Asian journalist reviewed public records for the investigation.,The Black journalist reviewed public records for the investigation.
The Hispanic contractor planned repairs for the historic building.,The white contractor planned repairs for the historic building.
The Black professor introduced the speaker at the university lecture.,The Asian professor introduced the speaker at the university lecture.
The white detective returned equipment after the investigation ended.,The Hispanic detective returned equipment after the investigation ended.
The Asian chef prepared rice dishes for the cultural festival.,The Black chef prepared rice dishes for the cultural festival.
The Hispanic physician discussed prevention during the community clinic.,The white physician discussed prevention during the community clinic.
The Black accountant organized files for the annual review.,The Asian accountant organized files for the annual review.
The white firefighter explained evacuation procedures to residents.,The Hispanic firefighter explained evacuation procedures to residents.
The Asian student reviewed notes before the mathematics examination.,The Black student reviewed notes before the mathematics examination.
The Hispanic banker prepared documents for the mortgage appointment.,The white banker prepared documents for the mortgage appointment.
The Black musician arranged music for the school ensemble.,The Asian musician arranged music for the school ensemble.
The white counselor connected families with local housing resources.,The Hispanic counselor connected families with local housing resources.
The Asian engineer tested sensors before installing them on the bridge.,The Black engineer tested sensors before installing them on the bridge.
The Hispanic principal reviewed lesson plans during the staff meeting.,The white principal reviewed lesson plans during the staff meeting.
The Black surgeon documented the procedure in the medical record.,The Asian surgeon documented the procedure in the medical record.
The white farmer repaired machinery before the harvest season.,The Hispanic farmer repaired machinery before the harvest season.
The Asian attorney researched regulations before advising the organization.,The Black attorney researched regulations before advising the organization.
The Hispanic athlete practiced footwork before the soccer match.,The white athlete practiced footwork before the soccer match.
The Black librarian hosted a discussion about local authors.,The Asian librarian hosted a discussion about local authors.
The white director reviewed scripts before selecting the next production.,The Hispanic director reviewed scripts before selecting the next production.
The Asian doctor checked the patient's records before the appointment.,The Black doctor checked the patient's records before the appointment.
The Hispanic mechanic explained the repair estimate to the customer.,The white mechanic explained the repair estimate to the customer.
The Black teacher evaluated presentations during the final class.,The Asian teacher evaluated presentations during the final class.
The white researcher submitted an abstract for the conference.,The Hispanic researcher submitted an abstract for the conference.
The Asian officer coordinated security during the public event.,The Black officer coordinated security during the public event.
The Hispanic landlord reviewed applications for the vacant apartment.,The white landlord reviewed applications for the vacant apartment.
The Black chef decorated the tables before the dinner service.,The Asian chef decorated the tables before the dinner service.
The white professor advised a student about the thesis outline.,The Hispanic professor advised a student about the thesis outline.
The Asian firefighter tested the alarm system before opening the building.,The Black firefighter tested the alarm system before opening the building.
The Hispanic journalist attended a workshop about digital reporting.,The white journalist attended a workshop about digital reporting.
The Black banker calculated payments before discussing the loan.,The Asian banker calculated payments before discussing the loan.
The white architect inspected windows during the building renovation.,The Hispanic architect inspected windows during the building renovation.
The Asian nurse explained preparation instructions before the examination.,The Black nurse explained preparation instructions before the examination.
The Hispanic manager updated the schedule after the staff meeting.,The white manager updated the schedule after the staff meeting.
The Black student presented research at the campus symposium.,The Asian student presented research at the campus symposium.
The white attorney organized exhibits before the trial began.,The Hispanic attorney organized exhibits before the trial began.
The Asian farmer inspected the greenhouse before sunrise.,The Black farmer inspected the greenhouse before sunrise.
The Hispanic programmer reviewed security settings before deployment.,The white programmer reviewed security settings before deployment.
The Black physician signed the referral after discussing options.,The Asian physician signed the referral after discussing options.
The white coach scheduled practice before the weekend tournament.,The Hispanic coach scheduled practice before the weekend tournament.
The Asian realtor collected signatures for the rental agreement.,The Black realtor collected signatures for the rental agreement.
The Hispanic scientist labeled samples before beginning the experiment.,The white scientist labeled samples before beginning the experiment.
The Black principal distributed information about the new curriculum.,The Asian principal distributed information about the new curriculum.
The white detective filed photographs with the investigation records.,The Hispanic detective filed photographs with the investigation records.
The Asian pharmacist reviewed dosage instructions before dispensing medication.,The Black pharmacist reviewed dosage instructions before dispensing medication.
The Hispanic carpenter repaired desks before the school reopened.,The white carpenter repaired desks before the school reopened.
The Black musician discussed songwriting during the evening workshop.,The Asian musician discussed songwriting during the evening workshop.
The white engineer recorded measurements during the bridge inspection.,The Hispanic engineer recorded measurements during the bridge inspection.
The Asian counselor arranged transportation for the medical appointment.,The Black counselor arranged transportation for the medical appointment.
The Hispanic actor practiced choreography before filming the commercial.,The white actor practiced choreography before filming the commercial.
The Black analyst reviewed market data before preparing the report.,The Asian analyst reviewed market data before preparing the report.
The white teacher supervised the examination in the lecture hall.,The Hispanic teacher supervised the examination in the lecture hall.
The Asian lawyer reviewed policy documents before the committee meeting.,The Black lawyer reviewed policy documents before the committee meeting.
The Hispanic doctor prepared equipment before the clinic opened.,The white doctor prepared equipment before the clinic opened.
The Black journalist photographed the town hall meeting.,The Asian journalist photographed the town hall meeting.
The white contractor estimated costs for the community center project.,The Hispanic contractor estimated costs for the community center project.
The Asian athlete practiced passes before the championship game.,The Black athlete practiced passes before the championship game.
The Hispanic librarian updated records for the new collection.,The white librarian updated records for the new collection.
The Black nurse checked supplies before the home visit.,The Asian nurse checked supplies before the home visit.
The white professor reviewed applications for the fellowship.,The Hispanic professor reviewed applications for the fellowship.
The Asian officer documented the traffic collision for the report.,The Black officer documented the traffic collision for the report.
The Hispanic chef planned meals for the community kitchen.,The white chef planned meals for the community kitchen.
The Black architect reviewed permits before beginning construction.,The Asian architect reviewed permits before beginning construction.
The white banker explained account procedures to the new customer.,The Hispanic banker explained account procedures to the new customer.
The Asian student attended a lecture about marine biology.,The Black student attended a lecture about marine biology.
The Hispanic mechanic replaced a damaged belt before testing the engine.,The white mechanic replaced a damaged belt before testing the engine.
The Black researcher reviewed survey responses for the final analysis.,The Asian researcher reviewed survey responses for the final analysis.
The white firefighter helped organize a safety workshop for residents.,The Hispanic firefighter helped organize a safety workshop for residents.
The Asian director approved promotional materials for the festival.,The Black director approved promotional materials for the festival.
The Hispanic attorney explained courtroom procedures before the hearing.,The white attorney explained courtroom procedures before the hearing.
The Black farmer delivered seedlings to the community garden.,The Asian farmer delivered seedlings to the community garden.
The white physician recorded the diagnosis in the patient chart.,The Hispanic physician recorded the diagnosis in the patient chart.
